Quality Supplement Mfg,,,,,,,,,,
Inventory Availability,,,,,,,,,,
  ,,,,,,,,,,
Part,Description,UOM,"On
Hand",Allocated,"Not
Available","Drop
Ship",Available,"On
Order",Committed,Short
CS#5094,Hydrangea Root Powder Extract 4:1,kg,10.18,0.00,0.00,0.00,10.18,0.00,0.00,0.00
CS#5112,Bromelain 1200 GDU,kg,0.00,2.21,0.00,0.00,0.00,0.00,0.00,2.21
CS#5113,Papain,kg,0.00,25.00,0.00,0.00,0.00,0.00,0.00,25.00
CS#5114,Fennel Seed Powder,kg,7.669,0.00,0.00,0.00,7.669,0.00,0.00,0.00
CS#5117,Thymus Substance,kg,0.00,8.75,0.00,0.00,0.00,0.00,0.00,8.75
CS#5157,"Nattokinase 20,000 fu/g",kg,9.757,26.25,0.00,0.00,0.00,0.00,0.00,16.493
CS#5159,"Serratiopeptidase 2,000 u/mg",kg,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.50
CS#5170,Deep Sea Salt,kg,55.0001,0.00,0.00,0.00,55.0001,0.00,0.00,0.00
CS#5172,Vitamin K1 1%,kg,27.013,0.00,27.013,0.00,0.00,0.00,0.00,0.00
CS#5173,Rice Bran Meal,kg,"1,284.30","2,171.87021",0.00,0.00,0.00,0.00,0.00,887.57021
CS#5186,Rice Bran Meal,kg,304.314,0.00,14.649,0.00,289.665,0.00,0.00,0.00
CS#5188,3oz White HDPE Cylinder 33mm SP.,ea,200.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00
CS#5195,Glucose,kg,25.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00
CS#5196,4 oz Clear Type III Glass Jar 58-400,ea,288.00,0.00,0.00,0.00,288.00,0.00,0.00,0.00
CS#5197,58-400 Black Smooth Lid - Heat Inductive Liner,ea,304.00,0.00,0.00,0.00,304.00,0.00,0.00,0.00
CS#5199,200cc PK/SS 38-400 Black bottles 335/cs,ea,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
CS#5203,38-400 Gold Smooth Lid - Pressure Sensitive Liner,ea,470.00,0.00,0.00,0.00,470.00,0.00,0.00,0.00
CS#5206,goBHB® Calcium Beta-Hydroxybutyrate,kg,125.00,0.00,125.00,0.00,0.00,0.00,0.00,0.00
CS#5207,goBHB® Magnesium Beta-Hydroxybutyrate,kg,42.57,0.00,42.57,0.00,0.00,0.00,0.00,0.00
CS#5208,goBHB® Sodium Beta-Hydroxybutyrate,kg,8.308,0.00,8.308,0.00,0.00,0.00,0.00,0.00
CS#5215,Blackstrap Molasses Powder,kg,6.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00
CS#5216,Omnimin AC Mineral Complex,kg,13.747,0.00,0.00,0.00,13.747,0.00,0.00,0.00
CS#5219,Vitamin K1 (1% Phytonadione),kg,0.046,0.00,0.046,0.00,0.00,0.00,0.00,0.00
CS#5227,Phytosterols 90% (Glycine max) (Soy),kg,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
CS#5228,L-Ornithine Mono HCl,kg,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00
CS#5232,Magnesium Stearate,kg,182.50,169.265,0.00,0.00,13.235,0.00,169.2728,0.00
CS#5233,White Kidney Bean Extract,kg,"1,586.03","1,581.60",0.00,0.00,4.43,0.00,"1,581.08",0.00
CS#5234,HT Rice Flour,kg,567.00,429.9022,0.00,0.00,137.0978,0.00,429.74,0.00
CS#5235,Silicone Dioxide (Sipernat 22),kg,79.60,74.8458,0.00,0.00,4.7542,0.00,75.26,0.00
CS#5236,Magnesium Glycinate (18%-23%),kg,"3,500.00","3,495.625",0.00,0.00,4.375,0.00,"3,498.52",0.00
CS#5237,BioPerine Black Pepper Extract,kg,20.00,14.665,0.00,0.00,5.335,0.00,14.68,0.00
CS#5238,Calcium Carbonate,kg,"2,188.12","1,966.08",0.00,0.00,222.04,0.00,"1,965.65",0.00
CS#5239,Vitamin D3 Cholecalciferol,kg,150.00,146.65,0.00,0.00,3.35,0.00,146.60,0.00
